[dotenv@17.2.0] injecting env (13) from .env (tip: ⚙️  enable debug logging with { debug: true })
📦 Database: SQLite
🚀 OASA Backend API running on port 5000
📊 Environment: production
🌐 Frontend URL: http://localhost:3000
::1 - - [30/Apr/2026:04:58:38 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "curl/8.7.1"
::1 - - [30/Apr/2026:04:59:06 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:04:59:17 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "curl/8.7.1"
::1 - - [30/Apr/2026:04:59:17 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:05:02:19 +0000] "GET /api/images/hero?count=5&size=600x400 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:02:19 +0000] "GET /api/settings/shopping HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:02:19 +0000] "GET /api/settings/site HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:02:19 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:05:02:19 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:05:03:14 +0000] "GET /api/images/hero?count=5&size=600x400 HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:14 +0000] "GET /api/settings/site HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:14 +0000] "GET /api/settings/shopping HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:14 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:05:03:14 +0000] "GET /api/categories HTTP/1.1" 200 102 "-" "node"
::1 - - [30/Apr/2026:05:03:49 +0000] "GET /api/categories HTTP/1.1" 200 102 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:49 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc HTTP/1.1" 200 2766 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:49 +0000] "GET /api/categories HTTP/1.1" 200 102 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:49 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc HTTP/1.1" 200 2766 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:54 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc&category=Pneumatic+Equipment HTTP/1.1" 200 849 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:56 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc&category=Gases HTTP/1.1" 200 581 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:57 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc&category=Auto+Parts HTTP/1.1" 200 291 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:57 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc&category=Welding+Equipment HTTP/1.1" 200 847 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
::1 - - [30/Apr/2026:05:03:59 +0000] "GET /api/products?page=1&limit=12&sortBy=name&sortOrder=asc&category=Tools HTTP/1.1" 200 293 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.0.0 Safari/537.36"
